تصنيف الشكوى,مضمون الشكوى
مشاكل النظام (موقع/تسجيل),تم حذف ماده حقوق الإنسان من على الموقع بالرغم من انى قمت بتسجيلها فى تسجيل المواد
مشاكل النظام (موقع/تسجيل),مشاكل النظام (موقع/تسجيل)
مشكله درجات ونتائج,مشكله درجات ونتائج
حذف و اضافه,حذف و اضافه
حذف و اضافه,اريد حذف مقرر Data computation
مشاكل النظام (موقع/تسجيل),الموقع سئ و بياخد وقت طويل فى التسجيل وبعض الاحيان مش بيفتح
مشاكل النظام (موقع/تسجيل),صعوبة التسجيل
مشاكل النظام (موقع/تسجيل),تسجيل المواد
مشكله درجات ونتائج,في مادة ال Data Visualization حصلت علي مجموع درجات نهائي 50 من 100 اي ما يعادل تقدير D عند الرجوع للموقع وجدت ان تقديري F مما يشير لخطء الكتروني
مشاكل النظام (موقع/تسجيل),تعطل الموقع عند فتح تسجيل المقررات لاكثر من 3 اسابيع دون حدوث حل له و عدم فتح تسجيل يدوي او تنظيم لعدد الزائرين للموقع
مشكله تخص المقررات,المقرر 
مشكله تخص المقررات,مشكله تخص المقررات
تحديث بيانات,مرفق صورة من بطاقة الرقم القومي وأود تحديث اسمي لكي يكون مطابقا لها
مشكله تخص المقررات,يوجد تكرار ثلاث مرات لمرة غياب بنفس التاريخ في نفس السكشن مما أدى إلى سحب المادة
مشكله درجات ونتائج,لقد تقدمت بشكوى في اجازة نصف العام ولم يحدث شئ الشكوى كانت مضمونها ان لم ترصد دراجات التدريب الصيفي الخارجي الذي انتهيت بة في أخر الترم الصيفي و كان التدريب Frontend G-mind و المشرف بشمهندسة ميار تواصلت مع دكتور عمرو امين و الدكتورة ماجدة و مزالت المشكلة لم تحل و الدراجات لم ترصد و تقديري في هذة المادة راسب
حذف و اضافه,طلب سحب مادة تكنولوجيا اللغة للفصل الدراسي الأول 2022/2023
مشكله درجات ونتائج,خطأ في رصد درجة اختبار
اخرى,تسجيل مواد من جروب g1 ل g2
مشكله امتحانات,امتحنت الماده مرتين عشان اول مره عملت submit للامتحان اول مره وفي النتيجه طلع اني متغيب عن الماده فامتحنت الماده تاني
مشاكل النظام (موقع/تسجيل),تسجيل المواد الدراسية يدويا بسبب تعثر تسجيلها على السيستم
مشكله تخص المقررات,كنت مسجل مادة ادفانسيد كالك وجبت فيها B+ وبعد كده لقيتهم سحبوها واضطريت اني اخش فيها سمر وجبت c+ومش عارف ايه السبب ورا السحب
مشكله تخص المقررات,سكشن ال distributed data analysis الفترة الخامسة يوم السبت في نفس المعاد مع سكشن ال Regression في حين وجود سكشن تاني لل distributed يوم الخميس الفترة الرابعة اطلب من حضراتكم تغيير موعد سكشن ال distributed data analysis ليوم الخميس الفترة الرابعة ، وشكرا.
مشكله تخص المقررات,انا في السنة الدراسية الثالثة امتحنت مادة حقوق انسان منذ عام و لم ترصد لي الدرجة على الموقع بالرسوب او النجاح رغم أن اسمي كان مسجلاً في كشف الامتحان و قد اتمتت الامتحان المرغوب هو تسجيل الدرجة على الموقع سواء بالرسوب او النجاح
مشاكل النظام (موقع/تسجيل),تسجيل distributed data analysis
مشكله درجات ونتائج,لم تظهر لي درجة مادة حقوق انسان و قد اديت الامتحان و انا الان في الفرقة الثالثة و قد اديت الامتحان في الترم الثاني لي في الكلية
مشكله تمنع التخرج,لم يتم نزول مادة قضايا مجتمعية وهي شرط للتخرج
